Fiscal Year;Quarter;Region;Business Area;Budget Request;Climate;Gender;;;;;;;
2015;Q1;1;MAS-Health-Health Other; $2,000,000 ;0.00%;No;;;;;;;
2015;Q1;1;MAS-Manufacturing-Value Chain for Manufacturing; $262,500 ;100.00%;No;;;;;;;
2015;Q1;2;MAS-Agribusiness-Crop Production; $700,000 ;30.00%;Yes;;;;;;;
2015;Q1;2;CTA-PPP-PPP: Other; $3,450,000 ;0.00%;No;;;;;;;
2015;Q1;2;ESG-ES&G Sustainability Advice & Solutions-Integrated ESG & Sustainability; $200,000 ;20.00%;Yes;;;;;;;
2015;Q1;2;FIG-Micro/Retail-Microfinance; $24,500 ;0.00%;No;;;;;;;
2015;Q1;2;FIG-Micro/Retail-Microfinance; $218,125 ;0.00%;Yes;;;;;;;
2015;Q1;3;INR-Municipal and Natural Infrastructure-Cities; $200,000 ;100.00%;Yes;;;;;;;
2015;Q1;3;CAE-Promoting Private Investment-Sector Enabling & Market Scans; $700,000 ;50.00%;Yes;;;;;;;
2015;Q1;3;INR-TMT-TMT; $25,000 ;30.00%;No;;;;;;;
2015;Q1;3;FIG-SME-GEM Access to Finance; $10,000 ;0.00%;Yes;;;;;;;
2015;Q1;3;FIG-SME-GEM Access to Finance; $1,416,384 ;0.00%;Yes;;;;;;;
2015;Q1;3;ESG-ES&G Sustainability Advice & Solutions-Integrated ESG & Sustainability; $60,000 ;20.00%;Yes;;;;;;;
2015;Q1;3;MAS-Agribusiness-Forestry & Land Uses; $450,000 ;20.00%;Yes;;;;;;;
2015;Q1;3;CTA-Corporate Finance-Sell-Side Advisory Mandate; $325,000 ;0.00%;No;;;;;;;
2015;Q1;3;EPS-Development Impact-Development Impact: Other; $2,735,000 ;20.00%;No;;;;;;;
2015;Q1;3;INR-Transport-Transport; $100,000 ;50.00%;No;;;;;;;
2015;Q1;3;GEI-Gender & Economic Inclusion-Gender; $4,750,000 ;10.00%;Yes;;;;;;;
2015;Q1;4;INR-Energy-Energy; $- ;100.00%;No;;;;;;;
2015;Q1;4;FIG-Banking Strategy and Risk-Risk Management; $249,000 ;0.00%;No;;;;;;;
2015;Q1;4;INR-Energy-Energy; $400,000 ;50.00%;No;;;;;;;
2015;Q1;4;MAS-Agribusiness-Agribusiness Other; $550,000 ;100.00%;Yes;;;;;;;
2015;Q1;4;CAE-Promoting Private Investment-Sector Enabling & Market Scans; $- ;50.00%;No;;;;;;;
2015;Q1;4;INR-Municipal and Natural Infrastructure-Water, Waste and Utilities; $70,000 ;100.00%;No;;;;;;;
2015;Q1;5;INR-Energy-Energy; $150,000 ;100.00%;No;;;;;;;
2015;Q1;5;FIG-Sustainability and Climate-Green Buildings; $526,040 ;100.00%;Yes;;;;;;;
2015;Q1;5;CTA-PPP-Upstream Work; $1,150,000 ;100.00%;Yes;;;;;;;
2015;Q1;5;MAS-Education-Education Other; $40,000 ;0.00%;No;;;;;;;
2015;Q1;5;FIG-Digital Finance Services-Retail Payments & Mobile Banking; $500,000 ;0.00%;Yes;;;;;;;
2015;Q1;5;INR-Energy-Energy; $350,000 ;50.00%;No;;;;;;;
2016;Q1;1;INR-Energy-Energy; $- ;100.00%;Yes;;;;;;;
2016;Q1;1;MAS-Tourism, Retail, Construction and Real Estates-Housing Other; $400,000 ;0.00%;Yes;;;;;;;
2016;Q1;1;CBD-Climate Business-Climate Advisory; $3,200,000 ;100.00%;No;;;;;;;
2016;Q1;1;CTA-PPP-PPP: Other; $80,000 ;0.00%;No;;;;;;;
2016;Q1;1;INR-Transport-Transport; $100,000 ;25.00%;No;;;;;;;
2016;Q1;1;FIG-Digital Finance Services-Retail Payments & Mobile Banking; $136,250 ;0.00%;Yes;;;;;;;
2016;Q1;1;CAE-Promoting Private Investment-Sector Enabling & Market Scans; $700,000 ;0.00%;Yes;;;;;;;
2016;Q1;1;FIG-FIG Other-Insurance; $300,000 ;100.00%;Yes;;;;;;;
2016;Q1;2;INR-Transport-Transport; $200,000 ;100.00%;No;;;;;;;
2016;Q1;2;TAS-JCAP-Joint Capital Markets Program (Secretariat); $300,000 ;5.00%;No;;;;;;;
2016;Q1;2;FIG-FIG Other-Housing Finance; $174,500 ;20.00%;Yes;;;;;;;
2016;Q1;2;INR-TMT-TMT; $- ;0.00%;No;;;;;;;
2016;Q1;2;CTA-PPP-Advisory Mandate; $200,000 ;100.00%;Yes;;;;;;;
2016;Q1;2;INR-Municipal and Natural Infrastructure-Cities; $800,000 ;20.00%;Yes;;;;;;;
2016;Q1;3;FIG-SME-SME Finance; $1,115,102 ;49.00%;Yes;;;;;;;
2016;Q1;3;INR-Transport-Transport; $- ;50.00%;No;;;;;;;
2016;Q1;3;FIG-Digital Finance Services-Retail Payments & Mobile Banking; $597,500 ;0.00%;Yes;;;;;;;
2016;Q1;3;FIG-Sustainability and Climate-Energy Efficiency/Renewable Energy Finance; $36,250 ;100.00%;No;;;;;;;
2016;Q1;3;FIG-SME-Value Chain Finance; $187,250 ;0.00%;Yes;;;;;;;
2016;Q1;3;FIG-SME-GEM Access to Finance; $324,000 ;0.00%;Yes;;;;;;;
2016;Q1;3;FIG-FIG Other-Insurance; $450,000 ;100.00%;Yes;;;;;;;
2016;Q1;3;MAS-Agribusiness-Supply Chain; $800,000 ;30.00%;Yes;;;;;;;
2016;Q1;3;INR-Municipal and Natural Infrastructure-Water, Waste and Utilities; $400,000 ;50.00%;No;;;;;;;
2016;Q1;4;INR-Transport-Transport; $175,000 ;50.00%;Yes;;;;;;;
2016;Q1;4;FIG-Digital Finance Services-Retail Payments & Mobile Banking; $1,136,250 ;0.00%;Yes;;;;;;;
2016;Q1;4;MAS-Health-Health Other; $- ;100.00%;Yes;;;;;;;
2016;Q1;4;GEI-Gender & Economic Inclusion-Gender; $9,150,000 ;20.00%;Yes;;;;;;;
2016;Q1;4;INR-TMT-TMT; $100,000 ;50.00%;No;;;;;;;
2016;Q1;5;CTA-Corporate Finance-Sell-Side Advisory Mandate; $250,000 ;0.00%;No;;;;;;;
2016;Q1;5;FIG-FIG Other-Housing Finance; $111,250 ;0.00%;No;;;;;;;
2016;Q1;5;FIG-Banking Strategy and Risk-Risk Management; $249,000 ;100.00%;Yes;;;;;;;
2016;Q1;5;CBD-Climate Business-Climate Advisory; $2,000,000 ;100.00%;No;;;;;;;
2016;Q1;5;CAE-Promoting Private Investment-Sector Enabling & Market Scans; $100,000 ;100.00%;No;;;;;;;
2016;Q1;5;CAE-Promoting Private Investment-Sector Enabling & Market Scans; $400,000 ;50.00%;Yes;;;;;;;
2016;Q1;5;FIG-Micro/Retail-Microfinance; $163,020 ;0.00%;No;;;;;;;
2017;Q1;1;FIG-Digital Finance Services-Retail Payments & Mobile Banking; $323,500 ;75.00%;Yes;;;;;;;
2017;Q1;1;CAE-Country Advisory Other-Country Advisory: Other; $250,000 ;0.00%;Yes;;;;;;;
2017;Q1;1;CTA-PPP-PPP: Other; $400,000 ;0.00%;No;;;;;;;
2017;Q1;1;INR-Transport-Transport; $75,000 ;75.00%;Yes;;;;;;;
2017;Q1;2;INR-TMT-TMT; $- ;0.00%;No;;;;;;;
2017;Q1;2;CTA-Corporate Finance-Sell-Side Advisory Mandate; $235,000 ;0.00%;No;;;;;;;
2017;Q1;2;CTA-Corporate Finance-Sell-Side Advisory Mandate; $550,000 ;0.00%;No;;;;;;;
2017;Q1;2;CBD-Climate Business-Green Buildings; $1,200,000 ;100.00%;No;;;;;;;
